Brand;Total sales/registrations;Total sales/registrations [%];Price [EUR incl. tax];Top speed [km/h];Diesel [%];Mild hybrid [%];Full hybrid (excl. plug-in hybrid) [%];Plug-in hybrid [%];Battery electric / fuel cell [%];Natural gas (mono-/bivalent incl. LPG) [%];Flex-Fuel (ethanol/gasoline) [%];Automatic [%];Front drive [%];Rear drive [%];4-wheel drive [%];Direct injection (non-diesel) [%];Euro 6 [%];Engine power [KW];Engine size [ccm];Number of cylinders;Number of gears;Mass in running order [kg];Gross weight [kg];Payload [kg];Length [mm];Width [mm];Height [mm];Wheelbase [mm];Front track [mm];Rear track [mm];Footprint [m2];Seats;Doors;Fuel consumption (NEDC) [l/100 km];Fuel consumption (extra-urban) [l/100 km];Fuel consumption (urban) [l/100 km];CO2 (NEDC) [g/km]
VW;1685466;11;29227;198;39;0;0;1.0;0.9;1.6;0.1;40;88;0;12;74;100;96;1506;3.7;6.0;1419;1952;577;4359;1801;1553;2662;1546;1531;4.1;5.1;4.9;5.3;4.7;6.4;120
Renault;1079778;7;22853;182;41;0.2;0;0;3.2;0.8;0;20;91;8;1;37;97;77;1261;3.7;5.5;1303;1794;538;4228;1777;1539;2641;1536;1534;4.1;5.1;5.0;4.7;4.2;5.6;108
Ford;988997;7;25853;187;35;0;0.7;0;0;0.2;0;20;92;1;7;76;99;93;1388;3.6;5.7;1425;1930;565;4348;1808;1579;2637;1550;1540;4.1;5.2;4.9;5.2;4.5;6.2;123
Peugeot;951266;6;25492;187;44;0;0;0;0.2;0.4;0;26;100;0;0;60;99;83;1380;3.5;5.8;1272;1778;549;4234;1795;1544;2619;1529;1531;4.0;5.1;4.9;4.5;4.0;5.4;107
Mercedes-Benz;852239;6;47867;223;61;2.1;0.1;1.4;0;0;0;82;37;31;32;97;99;138;2026;4.3;7.5;1680;2258;599;4660;1839;1531;2838;1590;1577;4.5;5.0;4.5;5.7;4.9;7.0;138
BMW;776929;5;48185;220;57;0;0;4.6;1.4;0;0;75;18;46;36;100;100;146;2081;4.1;7.3;1641;2165;592;4580;1830;1518;2787;1571;1591;4.4;5.0;4.6;5.2;4.7;6.4;127
Fiat;701448;5;17881;172;30;0;0;0;0;7.2;0;6;96;1;3;0;97;70;1364;3.9;5.3;1219;1615;463;3976;1705;1553;2485;1481;1479;3.7;4.5;4.3;5.2;4.4;6.5;121
Audi;701191;5;42459;219;48;5.0;0;0.7;0.2;0.6;0;66;63;0;37;75;99;135;1903;4.2;6.6;1567;2076;536;4514;1832;1482;2719;1563;1558;4.2;4.9;4.7;5.2;4.6;6.3;127
Opel;691587;5;23081;190;25;0;0;0;0.2;5.0;0;14;97;0;3;39;98;85;1391;3.8;5.7;1338;1824;502;4298;1785;1554;2603;1523;1523;4.0;5.1;4.8;5.2;4.5;6.4;123
Toyota;682342;5;24495;172;5;0;58.0;0.4;0;0;0;66;95;0;5;6;92;73;1606;3.8;5.5;1296;1726;481;4175;1738;1529;2569;1515;1516;3.9;4.9;4.9;4.3;4.1;4.7;100
�koda;678432;4;24557;199;36;0;0;0;0;1.3;0;32;87;0;13;69;99;93;1431;3.6;6.0;1349;1865;556;4432;1789;1497;2629;1517;1511;4.0;5.0;5.0;4.8;4.3;5.8;116
Citro�n;588939;4;20464;178;34;0;0;0;0.3;1.1;0;15;100;0;0;48;99;73;1327;3.3;5.3;1191;1705;564;4130;1754;1548;2608;1503;1498;3.9;5.1;4.9;4.5;4.0;5.4;107
Hyundai;519302;3;22603;181;19;0;3.6;0.6;1.6;1.2;0;19;94;0;6;58;97;85;1364;3.7;5.7;1336;1794;501;4220;1780;1540;2599;1552;1559;4.0;5.0;5.0;5.4;4.7;6.6;123
Dacia;498159;3;12876;168;34;0;0;0;0;8.5;0;3;92;0;8;13;98;71;1228;3.6;5.3;1197;1673;510;4247;1766;1603;2651;1518;1514;4.0;5.1;4.9;5.2;4.7;6.1;120
Kia;477789;3;23437;180;28;0;7.3;2.4;1.1;0.5;0;26;93;0;7;56;94;86;1444;3.8;5.8;1350;1815;511;4239;1771;1538;2616;1544;1552;4.1;5.0;5.0;5.2;4.7;6.4;121
Nissan;470911;3;27175;183;40;0;0;0;5.9;0.3;0;21;95;0;4;68;94;88;1365;3.9;5.7;1373;1843;504;4328;1788;1574;2624;1548;1549;4.1;5.1;5.0;5.1;4.5;6.0;114
Seat;438123;3;23848;193;22;0;0;0;0;2.6;0;18;94;0;6;79;99;92;1339;3.6;5.8;1290;1772;528;4255;1798;1507;2608;1530;1512;4.0;5.0;5.0;5.0;4.4;6.0;118
Volvo;302765;2;45852;211;64;0;0;6.1;0;0.2;0;78;52;0;48;97;99;141;1942;4.0;7.2;1829;2305;524;4655;1874;1568;2813;1618;1620;4.6;5.1;4.9;5.2;4.8;6.6;131
Suzuki;234591;2;1877;179;4;0;0;0;0;0;0;12;70;0;30;32;99;77;1279;3.8;5.2;1057;1512;486;3953;1726;1563;2475;1504;1497;3.7;4.8;4.9;4.9;4.4;5.8;113
